Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
134,Jorge Cuenca,es ESP,DF,Getafe,21,1999,29.8,6,2,0,33,14,0,6,47,32,,,0,Matches
135,Matheus Cunha,br BRA,FW,Atlético Madrid,22,1999,11.8,3,0,0,22,26,1,7,5,12,,,0,Matches
136,Arnaut Danjuma,nl NED,FW,Villarreal,24,1997,16.4,1,0,0,3,18,17,29,2,6,,,0,Matches
137,Sergi Darder,es ESP,MF,Espanyol,27,1993,34.7,4,0,0,28,38,0,69,24,25,,,0,Matches
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27,1994,23.9,7,0,0,44,59,1,93,23,30,,,0,Matches
139,Thomas Delaney,dk DEN,MF,Sevilla,29,1991,17.2,4,1,1,26,20,1,14,14,25,,,0,Matches
140,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,24,1997,15.7,3,0,0,11,17,4,146,5,16,,,0,Matches
141,Yusuf Demir,at AUT,FW,Barcelona,18,2003,2.1,0,0,0,0,4,0,2,2,1,,,0,Matches
142,Sergiño Dest,us USA,"DF,FW",Barcelona,20,2000,16.8,2,0,0,17,19,1,59,2,15,,,0,Matches
143,Boulaye Dia,sn SEN,FW,Villarreal,24,1996,14.1,3,0,0,23,13,7,1,4,5,,,0,Matches
144,Mouctar Diakhaby,gn GUI,DF,Valencia,24,1996,21.6,11,0,0,26,15,1,5,33,25,,,2,Matches
145,Javier Díaz,es ESP,GK,Sevilla,24,1997,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
146,Víctor Díaz,es ESP,DF,Granada,33,1988,16.7,5,0,0,15,4,0,12,17,14,,,0,Matches
147,Landry Dimata,be BEL,FW,Espanyol,23,1997,6.0,0,0,0,13,20,3,0,2,2,,,0,Matches
148,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,30.8,0,0,0,0,6,0,0,1,0,,,0,Matches
149,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38.0,1,0,0,1,2,0,0,0,0,,,0,Matches
150,Djené,tg TOG,DF,Getafe,29,1991,34.6,11,1,0,47,36,1,21,60,26,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Naïs Djouahra,fr FRA,MF,Real Sociedad,21,1999,2.4,0,0,0,3,2,1,15,2,3,,,0,Matches
152,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6.0,0,0,0,0,0,0,0,0,0,,,0,Matches
153,Jaume Doménech,es ESP,GK,Valencia,30,1990,3.8,1,0,0,0,0,0,0,0,0,,,0,Matches
154,Carlos Dominguez,es ESP,DF,Celta Vigo,20,2001,3.8,1,0,0,3,4,0,0,5,2,,,0,Matches
155,Mario Dominguez,es ESP,MF,Valencia,17,2004,0.3,0,0,0,1,0,0,0,0,0,,,0,Matches
156,John Donald,es ESP,DF,Elche,20,2000,2.0,0,0,0,2,0,0,0,3,5,,,0,Matches
157,Domingos Duarte,pt POR,DF,Granada,26,1995,18.7,7,1,0,24,15,0,2,22,14,,,0,Matches
158,Óscar Duarte,cr CRC,DF,Levante,32,1989,19.7,5,0,0,26,4,2,0,21,9,,,0,Matches
159,Rubén Duarte,es ESP,DF,Alavés,25,1995,29.1,12,1,1,44,40,2,116,57,48,,,0,Matches
160,Unai Dufur,es ESP,DF,Osasuna,22,1999,1.0,0,0,0,1,0,0,0,4,0,,,0,Matches
161,Hugo Duro,es ESP,FW,Getafe,21,1999,0.1,0,0,0,1,1,0,0,0,0,,,0,Matches
162,Hugo Duro,es ESP,"MF,FW",Valencia,21,1999,20.4,3,1,1,29,44,7,12,4,21,,,0,Matches
163,Aritz Elustondo,es ESP,DF,Real Sociedad,27,1994,23.4,3,1,0,18,22,2,5,32,14,,,0,Matches
164,Adri Embarba,es ESP,"MF,FW",Espanyol,29,1992,22.1,4,0,0,30,43,6,191,20,29,,,0,Matches
165,Emerson,br BRA,DF,Barcelona,22,1999,1.0,0,0,0,3,3,0,2,2,2,,,0,Matches
166,Youssef En-Nesyri,ma MAR,FW,Sevilla,24,1997,14.2,1,0,0,11,10,18,5,3,5,,,0,Matches
167,Gonzalo Escalante,ar ARG,MF,Alavés,28,1993,14.4,8,1,1,25,23,3,3,18,15,,,0,Matches
168,Aarón Escandell,es ESP,GK,Granada,25,1995,3.2,1,1,0,0,1,0,0,0,0,,,0,Matches
169,Sergio Escudero,es ESP,DF,Granada,31,1989,15.9,6,0,0,14,20,5,31,26,26,,,0,Matches
170,Alfonso Espino,uy URU,DF,Cádiz,29,1992,37.0,6,0,0,50,43,6,150,59,69,,,0,Matches
171,Estanis,es ESP,FW,Barcelona,17,2003,0.1,0,0,0,1,0,0,0,0,1,,,0,Matches
172,Pervis Estupiñán,ec ECU,DF,Villarreal,23,1998,17.5,3,0,0,24,11,11,71,27,23,,,0,Matches
173,Abde Ezzalzouli,ma MAR,FW,Barcelona,19,2001,6.4,4,0,0,17,15,2,15,9,9,,,0,Matches
174,Radamel Falcao,co COL,FW,Rayo Vallecano,35,1986,9.3,1,0,0,17,18,15,4,2,1,,,0,Matches
175,Fali,es ESP,"DF,MF",Cádiz,27,1993,20.0,6,0,0,19,11,0,11,24,19,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Omar Faraj,ps PLE,FW,Levante,19,2002,0.0,0,0,0,1,0,0,0,0,0,,,0,Matches
177,Ansu Fati,es ESP,FW,Barcelona,18,2002,3.7,0,0,0,9,12,3,3,0,2,,,0,Matches
178,Aleix Febas,es ESP,MF,Mallorca,25,1996,1.3,1,0,0,2,5,0,0,0,1,,,0,Matches
179,Nabil Fekir,fr FRA,MF,Real Betis,28,1993,31.0,7,1,0,65,92,9,174,7,30,,,0,Matches
180,Felipe,br BRA,DF,Atlético Madrid,32,1989,16.7,5,1,0,22,14,2,0,28,15,,,0,Matches
181,João Félix,pt POR,FW,Atlético Madrid,21,1999,14.0,3,1,1,15,57,9,18,7,2,,,0,Matches
182,Aitor Fernández,es ESP,GK,Levante,30,1991,13.0,1,1,0,1,2,0,0,0,1,,,0,Matches
183,Álex Fernández,es ESP,MF,Cádiz,28,1992,22.8,2,0,0,15,23,2,68,29,31,,,0,Matches
184,Fernando,br BRA,"MF,DF",Sevilla,34,1987,20.6,6,0,0,16,11,1,1,31,17,,,0,Matches
185,Fidel,es ESP,MF,Elche,31,1989,25.1,9,0,0,27,28,7,118,7,23,,,0,Matches
186,José Fontán,es ESP,DF,Celta Vigo,21,2000,3.1,3,0,0,10,0,0,5,9,3,,,0,Matches
187,Dimitri Foulquier,fr FRA,DF,Granada,28,1993,2.0,0,0,0,1,3,0,7,1,0,,,0,Matches
188,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,28,1993,26.0,11,0,0,39,40,1,63,30,16,,,0,Matches
189,Juan Foyth,ar ARG,DF,Villarreal,23,1998,21.4,6,1,1,39,22,0,8,22,50,,,0,Matches
190,Enric Franquesa,es ESP,"DF,MF",Levante,24,1997,6.9,1,0,0,7,6,1,10,6,3,,,0,Matches
191,Jorge de Frutos,es ESP,"MF,FW",Levante,24,1997,19.6,4,0,0,39,22,13,73,13,15,,,0,Matches
