Fecha,hora,L,V,GL,GV,TL,TV,CL,CV,AL,AV,RL,RV
10/02/2024,17:30,Real Madrid,Girona,4,0,6,0,0,2,1,2,0,0
10/02/2024,20:00,Las Palmas,Valencia,2,0,3,1,5,0,2,0,0,0
11/02/2024,13:00,Getafe,Celta,3,2,4,4,0,4,1,2,0,0
11/02/2024,15:15,Mallorca,Rayo,2,1,5,4,5,1,4,0,0,0
11/02/2024,17:30,Sevilla,Ath Madrid,1,0,6,5,2,7,2,1,0,0
11/02/2024,20:00,Barcelona,Granada,3,3,6,5,6,2,1,2,0,0
12/02/2024,20:00,Almeria,Ath Bilbao,0,0,4,4,4,10,4,1,1,0
16/02/2024,20:00,Villarreal,Getafe,1,1,7,2,8,3,0,1,0,0
17/02/2024,13:00,Ath Madrid,Las Palmas,5,0,7,2,3,5,2,2,0,0
17/02/2024,15:15,Osasuna,Cadiz,2,0,4,1,5,4,4,2,0,0
17/02/2024,17:30,Celta,Barcelona,1,2,4,4,2,5,2,4,0,0
17/02/2024,20:00,Valencia,Sevilla,0,0,4,1,7,2,0,1,0,0
18/02/2024,13:00,Rayo,Real Madrid,1,1,3,4,4,10,4,3,0,1
18/02/2024,17:30,Mallorca,Real Sociedad,1,2,1,5,3,9,7,5,1,0
18/02/2024,20:00,Betis,Alaves,0,0,2,4,6,8,5,2,0,0
19/02/2024,20:00,Ath Bilbao,Girona,3,2,7,6,3,4,1,2,0,0
23/02/2024,20:00,Real Sociedad,Villarreal,1,3,8,4,13,2,3,4,0,0
24/02/2024,15:15,Barcelona,Getafe,4,0,9,4,5,8,1,4,0,0
24/02/2024,17:30,Alaves,Mallorca,1,1,1,8,3,3,0,2,0,0
24/02/2024,20:00,Almeria,Ath Madrid,2,2,4,9,2,7,1,1,0,0
25/02/2024,13:00,Cadiz,Celta,2,2,6,3,9,1,2,3,0,0
25/02/2024,15:15,Betis,Ath Bilbao,3,1,5,1,5,3,1,6,0,1
25/02/2024,17:30,Las Palmas,Osasuna,1,1,3,2,6,7,2,1,0,0
25/02/2024,20:00,Real Madrid,Sevilla,1,0,6,1,7,2,1,3,0,0
26/02/2024,20:00,Girona,Rayo,3,0,8,1,2,2,3,5,0,1
01/03/2024,20:00,Celta,Almeria,1,0,6,0,7,0,1,2,0,1
02/03/2024,13:00,Sevilla,Real Sociedad,3,2,5,4,2,5,1,2,0,0
02/03/2024,15:15,Rayo,Cadiz,1,1,5,5,4,9,1,1,0,0
02/03/2024,17:30,Getafe,Las Palmas,3,3,5,5,4,4,4,1,0,0
02/03/2024,20:00,Valencia,Real Madrid,2,2,5,5,2,2,2,3,0,1
03/03/2024,13:00,Villarreal,Granada,5,1,10,3,6,4,1,2,0,0
03/03/2024,15:15,Ath Madrid,Betis,2,1,12,6,4,6,1,2,0,0
03/03/2024,20:00,Ath Bilbao,Barcelona,0,0,2,2,4,4,3,3,0,0
04/03/2024,20:00,Osasuna,Alaves,1,0,4,4,5,5,2,1,0,0
08/03/2024,20:00,Barcelona,Mallorca,1,0,6,3,4,1,1,1,0,0
09/03/2024,13:00,Valencia,Getafe,1,0,3,5,5,5,2,3,0,0
09/03/2024,15:15,Cadiz,Ath Madrid,2,0,3,4,3,1,4,5,0,0
09/03/2024,17:30,Granada,Real Sociedad,2,3,6,8,4,6,1,2,0,0
09/03/2024,20:00,Girona,Osasuna,2,0,6,1,5,7,3,3,0,0
10/03/2024,13:00,Alaves,Rayo,1,0,4,3,7,5,2,2,0,0
10/03/2024,15:15,Las Palmas,Ath Bilbao,0,2,2,2,10,3,3,3,0,0
10/03/2024,17:30,Real Madrid,Celta,4,0,13,1,12,1,2,3,0,0
10/03/2024,20:00,Betis,Villarreal,2,3,4,4,11,4,3,4,1,1
11/03/2024,20:00,Almeria,Sevilla,2,2,4,6,1,8,2,2,0,0
15/03/2024,20:00,Real Sociedad,Cadiz,2,0,6,2,8,2,3,1,0,0
16/03/2024,15:15,Osasuna,Real Madrid,2,4,4,9,5,7,3,2,0,0
16/03/2024,17:30,Getafe,Girona,1,0,3,3,2,5,4,4,0,0
16/03/2024,20:00,Ath Bilbao,Alaves,2,0,4,3,5,4,1,3,0,0
17/03/2024,13:00,Sevilla,Celta,1,2,4,5,3,8,4,0,0,0
17/03/2024,15:15,Villarreal,Valencia,1,0,7,7,6,2,5,1,0,0
17/03/2024,17:30,Rayo,Betis,2,0,4,1,4,8,4,4,0,0
17/03/2024,20:00,Ath Madrid,Barcelona,0,3,3,5,7,3,3,1,1,0
30/03/2024,13:00,Getafe,Sevilla,0,1,5,3,7,3,4,5,0,0
30/03/2024,15:15,Almeria,Osasuna,0,3,5,4,6,1,3,2,0,0
30/03/2024,17:30,Valencia,Mallorca,0,0,5,3,3,3,0,2,0,0
30/03/2024,20:00,Barcelona,Las Palmas,1,0,2,0,6,1,5,1,0,1
31/03/2024,13:00,Celta,Rayo,0,0,0,2,3,2,3,3,0,0
31/03/2024,15:15,Girona,Betis,3,2,5,4,5,4,3,4,0,0
31/03/2024,17:30,Alaves,Real Sociedad,0,1,0,3,3,8,2,2,0,0
31/03/2024,20:00,Real Madrid,Ath Bilbao,2,0,4,3,4,7,2,1,0,0
01/04/2024,20:00,Villarreal,Ath Madrid,1,2,2,8,3,3,3,3,0,0
04/04/2024,19:00,Granada,Valencia,0,1,3,2,5,4,3,1,0,0
12/04/2024,20:00,Betis,Celta,2,1,3,5,6,5,1,0,0,0
13/04/2024,13:00,Ath Madrid,Girona,3,1,4,5,2,0,3,2,0,0
13/04/2024,15:15,Rayo,Getafe,0,0,2,0,3,0,4,6,0,0
13/04/2024,17:30,Mallorca,Real Madrid,0,1,2,9,4,2,2,1,0,0
13/04/2024,20:00,Cadiz,Barcelona,0,1,3,2,8,4,3,3,0,0
14/04/2024,13:00,Las Palmas,Sevilla,0,2,2,3,6,2,3,3,1,0
14/04/2024,15:15,Granada,Alaves,2,0,3,3,1,5,3,2,0,0
14/04/2024,17:30,Ath Bilbao,Villarreal,1,1,6,2,3,1,3,3,0,1
14/04/2024,20:00,Real Sociedad,Almeria,2,2,4,3,5,1,2,2,1,0
15/04/2024,20:00,Osasuna,Valencia,0,1,2,3,4,1,0,2,0,0
19/04/2024,20:00,Ath Bilbao,Granada,1,1,6,0,11,4,4,2,0,0
20/04/2024,13:00,Celta,Las Palmas,4,1,13,4,8,4,1,0,0,0
20/04/2024,15:15,Rayo,Osasuna,2,1,6,2,5,1,4,1,0,0
20/04/2024,17:30,Valencia,Betis,1,2,5,6,7,6,2,3,0,0
21/04/2024,13:00,Getafe,Real Sociedad,1,1,4,3,0,4,0,2,0,0
21/04/2024,15:15,Almeria,Villarreal,1,2,5,3,5,2,3,4,1,0
21/04/2024,17:30,Alaves,Ath Madrid,2,0,3,4,1,11,5,3,0,0
21/04/2024,20:00,Real Madrid,Barcelona,3,2,8,6,2,8,3,2,0,0
22/04/2024,20:00,Sevilla,Mallorca,2,1,4,6,4,4,0,2,0,0
26/04/2024,20:00,Real Sociedad,Real Madrid,0,1,3,3,11,3,3,4,0,0
27/04/2024,15:15,Almeria,Getafe,1,3,11,5,9,2,5,4,1,0
27/04/2024,17:30,Alaves,Celta,3,0,8,0,8,3,3,3,0,0
27/04/2024,20:00,Ath Madrid,Ath Bilbao,3,1,3,1,3,5,3,2,0,0
28/04/2024,15:15,Granada,Osasuna,3,0,4,2,0,6,4,0,0,0
28/04/2024,17:30,Villarreal,Rayo,3,0,7,4,3,6,2,1,0,0
28/04/2024,20:00,Betis,Sevilla,1,1,5,1,4,6,3,5,0,0
29/04/2024,20:00,Barcelona,Valencia,4,2,13,3,15,1,1,0,0,1
03/05/2024,20:00,Getafe,Ath Bilbao,0,2,9,2,10,6,0,2,0,2
04/05/2024,13:00,Real Sociedad,Las Palmas,2,0,4,1,7,2,2,1,0,0
04/05/2024,15:15,Real Madrid,Cadiz,3,0,9,2,7,4,0,1,0,0
04/05/2024,17:30,Girona,Barcelona,4,2,7,7,5,4,0,3,0,0
04/05/2024,20:00,Mallorca,Ath Madrid,0,1,4,4,6,2,2,0,0,0
05/05/2024,13:00,Osasuna,Betis,0,2,2,4,8,5,2,2,1,0
