Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 18_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
150,Óscar Clemente,es ESP,MF,Las Palmas,22,1999,10.5,1,14,6,42.9,1.33,0.57,0.07,0.17,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
151,Saúl Coco,gq EQG,DF,Las Palmas,22,1999,8.7,0,3,1,33.3,0.34,0.11,0.00,0.00,0,0,Matches
152,Copete,es ESP,DF,Ponferradina,21,1999,26.1,1,10,3,30.0,0.38,0.11,0.10,0.33,0,0,Matches
153,Anderson Cordeiro,br BRA,MF,CF Fuenlabrada,22,1998,12.5,4,21,8,38.1,1.68,0.64,0.19,0.50,0,0,Matches
154,Aitor Córdoba,es ESP,DF,Burgos,26,1995,36.8,2,15,6,40.0,0.41,0.16,0.13,0.33,0,0,Matches
155,Asier Córdoba,es ESP,MF,Alcorcón,21,2000,3.1,0,6,0,0.0,1.93,0.00,0.00,,0,0,Matches
156,Pierre Cornud,fr FRA,DF,Oviedo,24,1996,27.0,0,3,2,66.7,0.11,0.07,0.00,0.00,0,0,Matches
157,José Corpas,es ESP,MF,Eibar,30,1991,33.0,8,76,30,39.5,2.30,0.91,0.07,0.17,3,3,Matches
158,Rober Correa,es ESP,"DF,MF",Eibar,28,1992,20.6,0,8,0,0.0,0.39,0.00,0.00,,0,0,Matches
159,Álex Corredera,es ESP,MF,Tenerife,25,1996,32.8,2,27,9,33.3,0.82,0.27,0.07,0.22,0,0,Matches
160,Antonio Cortés,es ESP,"MF,FW",Málaga,21,2000,15.1,3,26,9,34.6,1.72,0.60,0.08,0.22,1,1,Matches
161,Samu Costa,pt POR,MF,Almería,20,2000,34.4,0,53,22,41.5,1.54,0.64,0.00,0.00,0,0,Matches
162,David Costas,es ESP,DF,Oviedo,26,1995,39.2,1,8,3,37.5,0.20,0.08,0.13,0.33,0,0,Matches
163,Saúl Crespo,es ESP,MF,Ponferradina,25,1996,6.1,0,9,2,22.2,1.48,0.33,0.00,0.00,0,0,Matches
164,Cristian,es ESP,GK,Alcorcón,23,1998,3.0,0,0,0,,0.00,0.00,,,0,0,Matches
165,Cristo,es ESP,DF,Real Sociedad B,21,2000,11.4,0,1,1,100.0,0.09,0.09,0.00,0.00,0,0,Matches
166,Cristóbal,es ESP,MF,CF Fuenlabrada,37,1984,31.5,0,37,8,21.6,1.17,0.25,0.00,0.00,0,0,Matches
167,Sebastián Cristóforo,uy URU,MF,Cartagena,27,1993,4.9,0,3,0,0.0,0.61,0.00,0.00,,0,0,Matches
168,Iván Cuéllar,es ESP,GK,Sporting Gijón,37,1984,10.0,0,0,0,,0.00,0.00,,,0,0,Matches
169,Jaume Cuéllar,bo BOL,"FW,MF",Lugo,19,2001,18.9,2,29,14,48.3,1.53,0.74,0.07,0.14,0,0,Matches
170,Javier Cueto,es ESP,FW,Oviedo,20,2001,0.5,0,0,0,,0.00,0.00,,,0,0,Matches
171,Braian Cufré,ar ARG,DF,Málaga,24,1996,16.7,0,15,4,26.7,0.90,0.24,0.00,0.00,0,0,Matches
172,Eric Curbelo,es ESP,DF,Las Palmas,27,1994,30.5,1,3,1,33.3,0.10,0.03,0.33,1.00,0,0,Matches
173,Curro,es ESP,MF,Almería,25,1996,13.3,2,33,7,21.2,2.48,0.53,0.06,0.29,0,0,Matches
174,Jacques Dago,ci CIV,FW,CF Fuenlabrada,22,1999,2.3,0,4,0,0.0,1.77,0.00,0.00,,0,0,Matches
175,Damián,es ESP,MF,CF Fuenlabrada,18,2003,3.3,1,9,2,22.2,2.75,0.61,0.11,0.50,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
176,Niko Datković,hr CRO,DF,Mirandés,28,1993,1.2,0,1,0,0.0,0.84,0.00,0.00,,0,0,Matches
177,Toni Datković,hr CRO,DF,Cartagena,27,1993,15.8,0,8,2,25.0,0.51,0.13,0.00,0.00,0,0,Matches
178,Davo,es ESP,"MF,FW",Ibiza,26,1994,14.1,2,41,11,26.8,2.91,0.78,0.05,0.18,0,0,Matches
179,Julián Delmás,es ESP,"DF,MF",Cartagena,26,1995,35.8,3,19,7,36.8,0.53,0.20,0.16,0.43,0,0,Matches
180,Mohamed Diamé,sn SEN,DF,CF Fuenlabrada,34,1987,5.6,0,2,1,50.0,0.36,0.18,0.00,0.00,0,0,Matches
181,Pedro Díaz,es ESP,MF,Sporting Gijón,23,1998,35.8,4,69,19,27.5,1.93,0.53,0.06,0.21,0,0,Matches
182,Diego,es ESP,FW,Leganés,21,2000,1.1,0,3,0,0.0,2.78,0.00,0.00,,0,0,Matches
183,Adrián Diéguez,es ESP,"DF,MF",CF Fuenlabrada,25,1996,32.2,0,12,1,8.3,0.37,0.03,0.00,0.00,0,0,Matches
184,Papakouli Diop,sn SEN,MF,Ibiza,35,1986,17.2,0,11,0,0.0,0.64,0.00,0.00,,0,0,Matches
185,Naïs Djouahra,fr FRA,"MF,FW",Real Sociedad B,21,1999,11.2,0,12,3,25.0,1.07,0.27,0.00,0.00,0,0,Matches
