Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
603,Vitolo,es ESP,MF,Getafe,31,1989,2.5,0,1,0,0.0,0.41,0.00,0.00,,0,0,Matches
604,Daniel Vivian,es ESP,DF,Athletic Club,22,1999,22.1,2,17,8,47.1,0.77,0.36,0.12,0.25,0,0,Matches
605,Šime Vrsaljko,hr CRO,"DF,MF",Atlético Madrid,29,1992,10.2,1,4,1,25.0,0.39,0.10,0.25,1.00,0,0,Matches
606,Nikola Vukčević,me MNE,MF,Levante,29,1991,1.3,0,1,0,0.0,0.76,0.00,0.00,,0,0,Matches
607,Daniel Wass,dk DEN,"DF,MF",Atlético Madrid,32,1989,0.5,0,0,0,,0.00,0.00,,,0,0,Matches
608,Daniel Wass,dk DEN,MF,Valencia,32,1989,17.6,1,28,8,28.6,1.59,0.46,0.04,0.13,0,0,Matches
609,Iñaki Williams,gh GHA,FW,Athletic Club,27,1994,30.9,8,95,37,38.9,3.08,1.20,0.07,0.19,1,1,Matches
610,Nico Williams,es ESP,MF,Athletic Club,19,2002,14.9,0,33,10,30.3,2.22,0.67,0.00,0.00,0,0,Matches
611,Okay Yokuşlu,tr TUR,"DF,MF",Getafe,27,1994,5.2,0,4,1,25.0,0.77,0.19,0.00,0.00,0,0,Matches
612,Okay Yokuşlu,tr TUR,DF,Celta Vigo,27,1994,1.6,0,2,0,0.0,1.29,0.00,0.00,,0,0,Matches
613,Joseba Zaldúa,es ESP,"DF,MF",Real Sociedad,29,1992,13.0,0,6,3,50.0,0.46,0.23,0.00,0.00,0,0,Matches
614,Oier Zarraga,es ESP,MF,Athletic Club,22,1999,13.0,1,18,4,22.2,1.39,0.31,0.00,0.00,1,1,Matches
615,Luca Zidane,dz ALG,GK,Rayo Vallecano,23,1998,7.2,0,0,0,,0.00,0.00,,,0,0,Matches
616,Igor Zubeldia,es ESP,DF,Real Sociedad,24,1997,18.3,0,9,2,22.2,0.49,0.11,0.00,0.00,0,0,Matches
617,Martín Zubimendi,es ESP,MF,Real Sociedad,22,1999,28.8,2,20,9,45.0,0.69,0.31,0.10,0.22,0,0,Matches
