Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,MP,Starts,Min,Ast,G+A,G-PK,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,Temporada
65,Douglas Aurélio,pt POR,FW,Castellón,26,1999,0.6,1,2,1,50.0,3.27,1.64,0.00,0.00,1,1,Matches,4,0,55,0,1,0,1,0,1.64,0.00,1.64,0.00,0.00,0,1,1,0,0,1,0,,,0,,,,,,,,,,,,,,,25/26
66,Diego Aznar,es ESP,FW,Huesca,21,2003,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,2,0,38,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,25/26
67,Marc Aznar,es ESP,DF,Huesca,19,2006,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0,Matches,1,0,45,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,1,,,0,,,,,,,,,,,,,,,25/26
68,Iddrisu Baba,gh GHA,MF,Almería,29,1996,16.4,0,11,2,18.2,0.67,0.12,0.00,0.00,0,0,Matches,23,15,1477,1,1,0,5,0,0.00,0.06,0.06,0.00,0.06,0,24,31,0,4,12,18,,,0,,,,,,,,,,,,,,,25/26
69,Édgar Badía,es ESP,GK,Cultural Leonesa,33,1992,41.0,0,1,0,0.0,0.02,0.00,0.00,,0,0,Matches,41,41,3690,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0,3,3,0,0,0,0,,,0,67,1.63,187,120,64.2,9,9,23,7,17.1,9,1,0,10.0,25/26
70,Sinan Bakış,tr TUR,FW,Zaragoza,31,1994,1.6,2,10,4,40.0,6.12,2.45,0.20,0.50,0,0,Matches,9,0,147,0,2,2,2,1,1.22,0.00,1.22,1.22,1.22,0,6,1,4,0,0,1,,,0,,,,,,,,,,,,,,,25/26
71,Jon Balda,es ESP,DF,Real Sociedad B,23,2002,29.6,2,44,14,31.8,1.49,0.47,0.05,0.14,0,0,Matches,34,30,2662,2,4,2,13,1,0.07,0.07,0.14,0.07,0.14,1,40,36,3,97,36,38,,,1,,,,,,,,,,,,,,,25/26
72,Miguel Bañuz,es ESP,GK,Cultural Leonesa,32,1993,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,1,1,90,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,,0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,,25/26
73,Léo Baptistão,br BRA,"MF,FW",Almería,32,1992,21.9,9,76,31,40.8,3.47,1.42,0.12,0.29,0,0,Matches,36,25,1969,2,11,9,7,1,0.41,0.09,0.50,0.41,0.50,0,36,31,9,27,12,20,,,0,,,,,,,,,,,,,,,25/26
74,Adrian Baquerin,es ESP,FW,Valladolid,18,2007,1.2,0,0,0,,0.00,0.00,,,0,0,Matches,8,0,110,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,3,1,0,0,1,0,,,0,,,,,,,,,,,,,,,25/26
