Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 20_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
153,Saúl Coco,gq EQG,DF,Las Palmas,23,1999,33.2,8,0,0,28,33,0,0,13,22,,,0,Matches
154,Coke,es ESP,"MF,DF",Ibiza,35,1987,18.4,4,0,0,28,21,5,34,15,19,,,0,Matches
155,Diego Collado,es ESP,"MF,FW",Villarreal B,21,2001,25.5,3,1,0,36,56,5,50,7,28,,,0,Matches
156,Aitor Córdoba,es ESP,DF,Burgos,27,1995,40.3,8,0,0,40,9,0,0,44,27,,,0,Matches
157,José Corpas,es ESP,MF,Eibar,31,1991,28.9,8,0,0,43,42,16,67,29,9,,,0,Matches
158,Rober Correa,es ESP,DF,Eibar,29,1992,8.1,5,1,0,10,12,0,16,9,7,,,0,Matches
159,Álex Corredera,es ESP,MF,Tenerife,26,1996,19.5,4,2,0,19,15,1,61,21,20,,,0,Matches
160,David Costas,es ESP,DF,Oviedo,27,1995,20.7,5,0,0,28,9,0,1,31,9,,,0,Matches
161,Iván Cuéllar,es ESP,GK,Sporting Gijón,38,1984,24.5,3,0,0,0,4,0,0,0,0,,,0,Matches
162,Jaume Cuéllar,bo BOL,"FW,MF",Lugo,20,2001,22.1,6,0,0,35,34,7,78,14,17,,,0,Matches
163,Eric Curbelo,es ESP,DF,Las Palmas,28,1994,29.5,8,0,0,30,17,1,3,51,26,,,0,Matches
164,Curro,es ESP,"MF,FW",Burgos,26,1996,30.3,5,1,0,26,73,11,161,8,16,,,0,Matches
165,Dali,es ESP,FW,Racing Sant,22,2000,0.1,0,0,0,0,0,0,1,0,1,,,0,Matches
166,Toni Datković,hr CRO,DF,Cartagena,28,1993,37.5,14,1,0,39,11,3,32,39,34,,,0,Matches
167,Alberto Del Moral,es ESP,MF,Villarreal B,22,2000,37.0,10,2,2,48,62,3,1,53,37,,,0,Matches
168,Jorge Delgado,es ESP,FW,Racing Sant,20,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
169,Moisés Delgado,es ESP,DF,Ponferradina,28,1994,23.1,5,0,0,20,37,0,92,27,32,,,0,Matches
170,Julián Delmás,es ESP,"DF,MF",Málaga,27,1995,15.8,2,0,0,26,14,0,72,10,13,,,0,Matches
171,Julián Delmás,es ESP,DF,Cartagena,27,1995,3.8,0,0,0,7,5,0,34,2,6,,,0,Matches
172,Moussa Diarra,es ESP,DF,Málaga,20,2002,1.0,1,0,0,2,1,0,0,0,2,,,0,Matches
173,Pedro Díaz,es ESP,MF,Sporting Gijón,24,1998,26.8,3,0,0,29,24,1,108,24,32,,,0,Matches
