Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
94,Juanma Bravo,es ESP,MF,Alcorcón,23,1998,19,15,1216,13.5,1,1,2,1,0,0,3,0,0.07,0.07,0.15,0.07,0.15,Matches
95,Gastón Brugman,uy URU,MF,Oviedo,28,1992,33,30,2567,28.5,3,6,9,3,0,0,6,0,0.11,0.21,0.32,0.11,0.32,Matches
96,Brugui,es ESP,"MF,FW",Mirandés,24,1996,40,26,2268,25.2,8,2,10,8,0,0,2,0,0.32,0.08,0.40,0.32,0.40,Matches
97,Santiago Bueno,uy URU,DF,Girona,22,1998,31,30,2672,29.7,1,2,3,1,0,0,5,0,0.03,0.07,0.10,0.03,0.10,Matches
98,Stephen Buer,es ESP,MF,CF Fuenlabrada,22,1999,6,0,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
99,Julio Buffarini,ar ARG,DF,Cartagena,32,1988,7,6,439,4.9,1,0,1,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches
100,Julio Buffarini,ar ARG,"DF,MF",Huesca,32,1988,17,11,1014,11.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Aitor Buñuel,es ESP,DF,Almería,23,1998,13,8,650,7.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Esteban Burgos,ar ARG,DF,Eibar,29,1992,18,13,1281,14.2,0,1,1,0,0,1,3,0,0.00,0.07,0.07,0.00,0.07,Matches
